"HrefLang Tags","HrefLang Tags"
"General","Allgemein"
"Enabled","Aktiviert"
"Disabled StoreViews","Deaktivierte Stores"
"Never generate a hreflang tag for selected StoreViews","Für ausgewählte Stores wird <b>kein</b> HrefLang Tag erzeugt"
