"HrefLang Tags","HrefLang Tags"
"General","General"
"Enabled","Enabled"
"Disabled StoreViews","Disabled StoreViews"
"Never generate a hreflang tag for selected StoreViews","Never generate a hreflang tag for selected StoreViews"
"Group Name","Group Name"
"For multilanguage pages","For multilanguage pages"
